demand			
node	Major	Month	Demand
213	1	4	0.089
213	1	5	0.089
213	1	6	0.089
213	1	7	0.089
213	1	8	0.089
213	1	9	0.091
213	1	10	0.094
213	1	11	0.094
213	1	12	0.091
214	0	1	12.731
214	0	2	12.731
214	0	3	12.731
214	0	4	12.731
214	0	5	12.731
214	0	6	12.731
214	0	7	12.731
214	0	8	12.731
214	0	9	12.731
214	0	10	12.731
214	0	11	12.731
214	0	12	12.731
214	1	1	0
214	1	2	0
214	1	3	0
214	1	4	0
214	1	5	0
214	1	6	0
214	1	7	0
214	1	8	0
214	1	9	0
214	1	10	0
214	1	11	0
214	1	12	0
215	0	1	0.231
215	0	2	0.231
215	0	3	0.231
215	0	4	0.231
215	0	5	0.231
215	0	6	0.231
215	0	7	0.231
215	0	8	0.231
215	0	9	0.231
215	0	10	0.231
215	0	11	0.231
215	0	12	0.231
225	0	1	0.984
225	0	2	0
225	0	3	0
225	0	4	0
225	0	5	0
225	0	6	0
225	0	7	0
225	0	8	0.984
225	0	9	1.312
225	0	10	1.312
225	0	11	1.312
225	0	12	1.312
235	0	1	4.218
235	0	2	2.607
235	0	3	2.607
235	0	4	2.607
235	0	5	2.607
235	0	6	2.607
235	0	7	2.607
235	0	8	4.384
235	0	9	5.951
235	0	10	7.039
235	0	11	6.927
235	0	12	5.71
235	1	1	1.093
235	1	2	0.013
235	1	3	0.013
235	1	4	0.013
235	1	5	0.013
235	1	6	0.013
235	1	7	0.013
235	1	8	1.48
235	1	9	3.621
235	1	10	5.594
235	1	11	5.393
235	1	12	3.186
240	1	1	61.75
240	1	2	61.691
240	1	3	58.59
240	1	4	42.882
240	1	5	46.133
240	1	6	50.278
240	1	7	49.598
240	1	8	52.225
240	1	9	50.264
240	1	10	51.748
240	1	11	60.183
240	1	12	64.498
241	0	1	17.049
241	0	2	16.191
241	0	3	16.191
241	0	4	16.191
241	0	5	16.191
241	0	6	16.191
241	0	7	16.191
241	0	8	16.994
241	0	9	17.381
241	0	10	17.431
241	0	11	17.409
241	0	12	17.36
241	1	1	2.645
241	1	2	2.225
241	1	3	2.225
241	1	4	2.225
241	1	5	2.225
241	1	6	2.225
241	1	7	2.225
241	1	8	2.771
241	1	9	3.525
241	1	10	4.201
241	1	11	4.129
241	1	12	3.375
242	1	1	16.7
242	1	2	7.442
242	1	3	8.385
242	1	4	16.5
242	1	5	13.555
242	1	6	10.763
242	1	7	13.435
242	1	8	20.425
242	1	9	21.835
242	1	10	23.763
242	1	11	27.622
242	1	12	26.086
249	1	1	0.136
