diversion_flows		
channel	month	flow
426	8	2800.46
426	9	2800.46
426	10	2800.46
426	11	2800.46
426	12	2800.46
426	1	2800.46
426	2	2800.46
426	3	0
427	4	0
427	5	0
427	6	0
427	7	3100.63
427	8	3100.63
427	9	3100.63
427	10	3100.63
427	11	3100.63
427	12	3100.63
427	1	3100.63
427	2	3100.63
427	3	0
428	4	0
428	5	0
428	6	0
428	7	3100.63
428	8	3100.63
428	9	3100.63
428	10	3100.63
428	11	3100.63
428	12	3100.63
428	1	3100.63
428	2	3100.63
428	3	0
420	4	0
420	5	0
420	6	0
420	7	1797.52
420	8	1797.52
420	9	1797.52
420	10	1797.52
420	11	1797.52
420	12	1797.52
420	1	1797.52
420	2	1797.52
420	3	0
755	4	0
755	5	0
755	6	0
755	7	35314.7
755	8	35314.7
755	9	35314.7
755	10	35314.7
755	11	35314.7
755	12	35314.7
755	1	35314.7
755	2	35314.7
755	3	0
750	4	0
750	5	0
750	6	0
750	7	35314.7
750	8	35314.7
750	9	35314.7
750	10	35314.7
750	11	35314.7
750	12	35314.7
750	1	35314.7
750	2	35314.7
750	3	0
751	4	0
751	5	0
751	6	0
751	7	35314.7
751	8	35314.7
751	9	35314.7
751	10	35314.7
751	11	35314.7
751	12	35314.7
751	1	35314.7
751	2	35314.7
751	3	0
754	4	0
754	5	0
754	6	0
754	7	35314.7
754	8	35314.7
754	9	35314.7
754	10	35314.7
754	11	35314.7
754	12	35314.7
754	1	35314.7
754	2	35314.7
754	3	0
749	4	0
749	5	0
749	6	0
749	7	35314.7
749	8	35314.7
749	9	35314.7
749	10	35314.7
749	11	35314.7
749	12	35314.7
749	1	35314.7
749	2	35314.7
749	3	0
468	4	0
468	5	0
468	6	0
468	7	35314.7
468	8	35314.7
468	9	35314.7
468	10	35314.7
468	11	35314.7
468	12	35314.7
468	1	35314.7
468	2	35314.7
468	3	0
752	4	0
752	5	0
752	6	0
752	7	35314.7
752	8	35314.7
752	9	35314.7
752	10	35314.7
752	11	35314.7
752	12	35314.7
752	1	35314.7
752	2	35314.7
752	3	0
455	4	0
455	5	0
455	6	0
455	7	35314.7
455	8	35314.7
455	9	35314.7
455	10	35314.7
455	11	35314.7
455	12	35314.7
455	1	35314.7
455	2	35314.7
455	3	0
460	4	0
460	5	0
460	6	0
460	7	35314.7
460	8	35314.7
460	9	35314.7
460	10	35314.7
460	11	35314.7
460	12	35314.7
460	1	35314.7
460	2	35314.7
460	3	0
753	4	0
753	5	0
753	6	0
753	7	35314.7
753	8	35314.7
753	9	35314.7
753	10	35314.7
753	11	35314.7
753	12	35314.7
753	1	35314.7
753	2	35314.7
753	3	0
758	4	0
758	5	0
758	6	0
758	7	35314.7
758	8	35314.7
758	9	35314.7
758	10	35314.7
758	11	35314.7
758	12	35314.7
758	1	35314.7
758	2	35314.7
758	3	0
458	4	0
458	5	0
458	6	0
458	7	35314.7
458	8	35314.7
458	9	35314.7
458	10	35314.7
458	11	35314.7
458	12	35314.7
458	1	35314.7
458	2	35314.7
458	3	0
462	4	0
462	5	0
462	6	0
462	7	35314.7
462	8	35314.7
462	9	35314.7
462	10	35314.7
462	11	35314.7
462	12	35314.7
462	1	35314.7
462	2	35314.7
462	3	0
463	4	0
463	5	0
463	6	0
463	7	35314.7
463	8	35314.7
463	9	35314.7
463	10	35314.7
463	11	35314.7
463	12	35314.7
