NNo,TSIndex,Spills,Evap_Loss,Seepage,Ups_Rel,Pump_In,Gw_In,Dws_Rel,Pump_Out,Hydra_Cap,Head_Avg,Powr_Avg,Energy,Pwr_2nd,Hydro_State
38,8,0,35.758000000000003,0,1243.3689999999999,0,0,1140.452,798.13499999999999,0,963.3959181230548,0,0,0,0
1,9,0,-0.064000000000000001,0,0,0,0,0,0,0,952.24153846153854,0,0,0,0
38,9,0,-6.0549999999999997,0,1128.2660000000001,0,0,1134.3209999999999,792.00400000000002,0,963.39992817811822,0,0,0,0
1,10,0,-0.42099999999999999,0,0,0,0,0,0,0,952.24153846153854,0,0,0,0
38,10,0,-39.892000000000003,0,1705.2460000000001,0,0,1745.1379999999999,1402.8209999999999,0,963.39992817811822,0,0,0,0
1,11,0,0.77300000000000002,0,0,0,0,0,0,0,952.23615384615391,0,0,0,0
38,11,0,77.906000000000006,0,6716.0140000000001,0,0,6638.1080000000002,6295.7910000000002,0,963.39992817811822,0,0,0,0
1,12,0,-0.80800000000000005,0,0,0,0,0,0,0,952.23615384615391,0,0,0,0
38,12,0,-78.391000000000005,0,2961.415,0,0,3039.806,2697.489,0,963.39992817811822,0,0,0,0
1,13,0,-0.35499999999999998,0,959.81600000000003,0,0,1028.1600000000001,1028.1600000000001,0,951.86533444816064,0,0,0,0
38,13,0,-38.671999999999997,0,8445.2569999999996,0,0,7648.5290000000005,7306.2120000000004,0,963.44996408905911,0,0,0,0
1,14,0,0.073999999999999996,0,0.073999999999999996,0,0,0,0,0,951.48913043478262,0,0,0,0
38,14,0,10.673,0,6701.0129999999999,0,0,5854.9399999999996,5512.6229999999996,0,963.54997605937274,0,0,0,0
1,15,0,-0.30599999999999999,0,0,0,0,0.30599999999999999,0.30599999999999999,0,951.48913043478262,0,0,0,0
38,15,0,-38.972000000000001,0,6537.4189999999999,0,0,5740.991,5398.674,0,963.64992817811822,0,0,0,0
1,16,0,0.82099999999999995,0,0.82099999999999995,0,0,0,0,0,951.48913043478262,0,0,0,0
38,16,0,110.50700000000001,0,6829.8360000000002,0,0,5883.9290000000001,5541.6120000000001,0,963.74994014843196,0,0,0,0
1,17,0,0.61899999999999999,0,0.61899999999999999,0,0,0,0,0,951.48913043478262,0,0,0,0
38,17,0,84.147000000000006,0,6038.625,0,0,5119.0780000000004,4776.7610000000004,0,963.84995211874548,0,0,0,0
1,18,0,0.65000000000000002,0,0.65000000000000002,0,0,0,0,0,951.48913043478262,0,0,0,0
38,18,0,89.213999999999999,0,5623.3339999999998,0,0,4698.7200000000003,4356.4030000000002,0,963.94996408905911,0,0,0,0
1,19,0,0.78100000000000003,0,0.78100000000000003,0,0,0,0,0,951.48913043478262,0,0,0,0
38,19,0,108.767,0,5463.6670000000004,0,0,4421.1000000000004,4078.7829999999999,0,964.04995716427493,0,0,0,0
1,20,0,0.92900000000000005,0,0.92900000000000005,0,0,0,0,0,951.48913043478262,0,0,0,0
38,20,0,130.61600000000001,0,2118.5540000000001,0,0,1054.1379999999999,711.82100000000003,0,964.14992503748124,0,0,0,0
1,21,0,1.0089999999999999,0,1026.318,0,0,1025.309,1025.309,0,951.48913043478262,0,0,0,0
38,21,0,143.77600000000001,0,2157.7199999999998,0,0,1080.144,737.827,0,964.24994645534377,0,0,0,0
1,22,0,-4.7949999999999999,0,0,0,0,4.7949999999999999,4.7949999999999999,0,951.48913043478262,0,0,0,0
38,22,0,-666.76099999999997,0,2688.788,0,0,2421.7489999999998,2079.4319999999998,0,964.3499678732062,0,0,0,0
1,23,0,0.877,0,0.877,0,0,0,0,0,951.48913043478262,0,0,0,0
38,23,0,131.20599999999999,0,5485.9059999999999,0,0,4420.8999999999996,4078.5830000000001,0,964.44998929106873,0,0,0,0
1,24,0,-1.9870000000000001,0,0,0,0,1.9870000000000001,1.9870000000000001,0,951.48913043478262,0,0,0,0
38,24,0,-279.87700000000001,0,2076.2159999999999,0,0,2356.0929999999998,2013.7760000000001,0,964.5,0,0,0,0
1,25,0,-0.183,0,0,0,0,0.183,0.183,0,951.48913043478262,0,0,0,0
38,25,0,-19.312999999999999,0,2228.2530000000002,0,0,2247.5659999999998,1905.249,0,964.5,0,0,0,0
1,26,0,1.1659999999999999,0,1.1659999999999999,0,0,0,0,0,951.48913043478262,0,0,0,0
38,26,0,173.45500000000001,0,6859.8890000000001,0,0,6686.4340000000002,6344.1170000000002,0,964.5,0,0,0,0
1,27,0,2.141,0,2.141,0,0,0,0,0,951.48913043478262,0,0,0,0
38,27,0,313.52100000000002,0,5886.7659999999996,0,0,5573.2449999999999,5230.9279999999999,0,964.5,0,0,0,0
