NNo,TSIndex,Inflow,Gw_In,Flow_Thru,Rout_Ret
11,9,0,0,0,0
12,9,0,0,0,0
13,9,0,0,0,0
14,9,0,0,342.31700000000001,0
15,9,0,0,0,0
16,9,0,0,0,0
17,9,0,0,0,0
25,9,0,0,0,0
32,9,0,0,0,0
35,9,0,0,0,0
39,9,0,0,0,0
43,9,0,0,0,0
51,9,0,0,342.31700000000001,0
52,9,0,0,0,0
53,9,579.39800000000002,0,0,0
54,9,143.94200000000001,0,0,0
55,9,1014.854,0,0,0
56,9,187.488,0,0,0
57,9,163.29599999999999,0,0,0
60,9,0,0,410.05399999999997,0
61,9,225.59,0,0,0
62,9,0,0,0,0
63,9,0,0,0,0
64,9,0,0,0,0
65,9,0,0,0,0
66,9,0,0,0,0
67,9,0,0,0,0
68,9,0,0,0,0
69,9,0,0,0,0
70,9,0,0,0,0
71,9,0,0,0,0
2,10,3050.0059999999999,0,0,0
3,10,0,0,0,0
4,10,0,0,0,0
5,10,0,0,0,0
6,10,0,0,0,0
7,10,3951.1579999999999,0,0,0
8,10,0,0,0,0
9,10,0,0,0,0
10,10,0,0,0,0
11,10,0,0,0,0
12,10,0,0,0,0
13,10,0,0,0,0
14,10,0,0,342.31700000000001,0
15,10,0,0,0,0
16,10,0,0,0,0
17,10,0,0,0,0
25,10,0,0,0,0
32,10,0,0,0,0
35,10,0,0,0,0
39,10,0,0,0,0
43,10,0,0,0,0
51,10,0,0,342.31700000000001,0
52,10,0,0,0,0
53,10,972.51800000000003,0,0,0
54,10,169.94900000000001,0,0,0
55,10,1201.133,0,0,0
56,10,313.286,0,0,0
57,10,273.97399999999999,0,0,0
60,10,0,0,410.05399999999997,0
61,10,266.71699999999998,0,0,0
62,10,0,0,0,0
63,10,0,0,0,0
64,10,0,0,0,0
65,10,0,0,0,0
66,10,0,0,0,0
67,10,0,0,0,0
68,10,0,0,0,0
69,10,0,0,0,0
70,10,0,0,0,0
71,10,0,0,0,0
2,11,27085.363000000001,0,0,0
3,11,0,0,0,0
4,11,0,0,0,0
5,11,0,0,0,0
6,11,0,0,0,0
7,11,10483.602999999999,0,0,0
8,11,0,0,0,0
9,11,0,0,0,0
10,11,0,0,0,0
11,11,0,0,0,0
12,11,0,0,0,0
13,11,0,0,0,0
14,11,0,0,342.31700000000001,0
15,11,0,0,0,0
16,11,0,0,0,0
17,11,0,0,0,0
25,11,0,0,0,0
32,11,0,0,0,0
35,11,0,0,0,0
39,11,0,0,0,0
