NNo,TSIndex,Spills,Evap_Loss,Seepage,Ups_Rel,Pump_In,Gw_In,Dws_Rel,Pump_Out,Hydra_Cap,Head_Avg,Powr_Avg,Energy,Pwr_2nd,Hydro_State
1,3510,0,-1497.838,0,235838.736,0,0,130872.76700000001,130872.76700000001,0,76.310560000000123,120000,20160,0,0
17,3510,0,-1162.4369999999999,0,111718.656,0,0,80808.191999999995,80808.191999999995,0,120.55933022091313,157895.79058108688,26526.492817622595,0,0
1,3511,0,-545.26400000000001,0,266112,0,0,184427.81,184427.81,0,78.650127518586714,120000,20160,0,0
17,3511,0,-475.50599999999997,0,134297.65400000001,0,0,120292.20699999999,120292.20699999999,0,121.251575,236395.50653635143,39714.44509810704,0,0
1,3512,0,-499.673,0,161680.579,0,0,84253.254000000001,84253.254000000001,0,80.894420518586685,110463.7002612356,18557.901643887581,0,0
17,3512,0,-441.74200000000002,0,70685.395000000004,0,0,60083.803999999996,60083.803999999996,0,121.63445000000002,118448.16908920293,19899.292406986093,0,0
1,3513,0,739.13300000000004,0,165277.32500000001,0,0,78722.733999999997,78722.733999999997,0,83.037915999999996,105947.55658386022,17799.189506088518,0,0
17,3513,0,461.83100000000002,0,60998.313999999998,0,0,48740.769,48740.769,0,121.977035,96357.336078829394,16188.03246124334,0,0
1,3514,0,936.15999999999997,0,159418.628,0,0,77678.884999999995,77678.884999999995,0,85.037344000000076,107059.94253228891,17986.070345424538,0,0
17,3514,0,577.03099999999995,0,58426.099000000002,0,0,35474.781999999999,35474.781999999999,0,122.48958500000003,70426.034334868629,11831.573768257929,0,0
1,3515,0,-2.9369999999999998,0,193953.91699999999,0,0,128766.395,128766.395,0,86.78927200000021,120000,20160,0,0
17,3515,0,-44.914999999999999,0,78971.759999999995,0,0,60240.008000000002,60240.008000000002,0,123.10685000000001,120193.66424831701,20192.535593717257,0,0
1,3516,0,464.87799999999999,0,264310.29999999999,0,0,182177.54199999999,182177.54199999999,0,88.154838857142977,120000,20160,0,0
17,3516,0,249.452,0,128296.829,0,0,111533.296,111533.296,0,123.62705478424607,223476.77483933343,37544.098173008017,0,0
1,3517,0,1176.7719999999999,0,144690.538,0,0,112963.78200000001,112963.78200000001,0,89.130911428571608,120000,20160,0,0
17,3517,0,733.90099999999995,0,68139.792000000001,0,0,66413.581999999995,66413.581999999995,0,123.8786214687957,133342.19619909042,22401.48896144719,0,0
1,3518,0,1007.5839999999999,0,108392.25599999999,0,0,78845.75,78845.75,0,89.890627142857056,114870.10938045627,19298.178375916654,0,0
17,3518,0,617.62900000000002,0,53739.504000000001,0,0,44019.252,44019.252,0,124.01080090843789,88474.171898853281,14863.660879007351,0,0
1,3519,0,-34.963000000000001,0,87155.914000000004,0,0,69379.766000000003,69379.766000000003,0,90.486555714285942,101749.2516711224,17093.874280748565,0,0
17,3519,0,-89.430999999999997,0,44678.995000000003,0,0,40548.247000000003,40548.247000000003,0,124.18524634423306,81612.451224957913,13710.89180579293,0,0
1,3520,0,1003.0940000000001,0,77285.577000000005,0,0,62299.165999999997,62299.165999999997,0,90.895348571428713,91777.923576335816,15418.691160824415,0,0
17,3520,0,632.26800000000003,0,47863.267,0,0,43028.821000000004,43028.821000000004,0,124.2955333595977,86682.076072627518,14562.588780201424,0,0
1,3521,0,473.27800000000002,0,51434.612000000001,0,0,46716.883999999998,46716.883999999998,0,91.129708571428637,68999.856061428611,11591.975818320007,0,0
17,3521,0,278.30399999999997,0,38071.555,0,0,32166.712,32166.712,0,124.42421682000418,64867.315020544411,10897.708923451461,0,0
1,3522,0,638.04100000000005,0,40909.277000000002,0,0,42054.563999999998,42054.563999999998,0,91.161350000000084,62135.274078102571,10438.726045121231,0,0
17,3522,0,392.74200000000002,0,27895.794999999998,0,0,24784.157999999999,24784.157999999999,0,124.53348253806394,50023.564850393574,8403.9588948661203,0,0
1,3523,0,354.67899999999997,0,34397.396000000001,0,0,43698.284,43698.284,0,91.014277142857281,64459.694458906888,10829.228669096357,0,0
17,3523,0,210.35499999999999,0,25388.294999999998,0,0,24534.222000000002,24534.222000000002,0,124.57751616416772,49536.611282887316,8322.1506955250679,0,0
