NNo,TSIndex,Spills,Evap_Loss,Seepage,Ups_Rel,Pump_In,Gw_In,Dws_Rel,Pump_Out,Hydra_Cap,Head_Avg,Powr_Avg,Energy,Pwr_2nd,Hydro_State
1,4387,0,179.11699999999999,0,40871.779000000002,0,0,40571.212,40571.212,0,63.84170181333343,41979.452744444796,7052.5480610667255,0,0
17,4387,0,77.691999999999993,0,27628.473999999998,0,0,1497.1400000000001,1497.1400000000001,0,111.51470833333337,2705.8823025811284,454.58822683362962,0,0
1,4388,0,-44.451000000000001,0,47096.985999999997,0,0,18943.212,18943.212,0,64.467899893333424,19792.993318686436,3325.2228775393214,0,0
17,4388,0,-51.090000000000003,0,32974.300000000003,0,0,13801.689,13801.689,0,112.64788333333331,25198.205200968074,4233.2984737626357,0,0
1,4389,0,475.399,0,56569.968000000001,0,0,21304.239000000001,21304.239000000001,0,65.92652000000021,22763.577313194895,3824.280988616742,0,0
17,4389,0,242.17500000000001,0,33173.279999999999,0,0,5441.8900000000003,5441.8900000000003,0,113.99097000000006,10053.899594614077,1689.055131895165,0,0
1,4390,0,-1530.7760000000001,0,83693.433000000005,0,0,34239.258000000002,34239.258000000002,0,67.723680000000058,37581.942957491032,6313.7664168584934,0,0
17,4390,0,-1008.052,0,45925.487999999998,0,0,18088.182000000001,18088.182000000001,0,115.24574000000007,33785.794456497199,5676.0134686915299,0,0
1,4391,0,-267.32400000000001,0,315478.19500000001,0,0,251294.61300000001,251294.61300000001,0,69.717056000000184,120000,20160,0,0
17,4391,0,-233.27699999999999,0,168975.677,0,0,132015.02600000001,132015.02600000001,0,116.56651999999997,249408.66187557834,41900.655195097163,0,0
1,4392,0,-418.36399999999998,0,257049.677,0,0,186209.11600000001,186209.11600000001,0,71.772688000000244,120000,20160,0,0
17,4392,0,-339.42700000000002,0,129383.655,0,0,90451.384999999995,90451.384999999995,0,117.92760638070217,172880.11404510867,29043.859159578256,0,0
1,4393,0,11.698,0,251438.94699999999,0,0,171101.07800000001,171101.07800000001,0,73.949345000000221,120000,20160,0,0
17,4393,0,-46.784999999999997,0,115697.63499999999,0,0,66536.519,66536.519,0,119.31455660161532,128667.19797684105,21616.089260109296,0,0
1,4394,0,436.05500000000001,0,175462.76199999999,0,0,68562.899999999994,68562.899999999994,0,76.310560000000123,84798.497014290188,14246.147498400751,0,0
17,4394,0,270.53199999999998,0,83118.269,0,0,50774.836000000003,50774.836000000003,0,120.55933022091313,99211.882773531586,16667.596305953306,0,0
1,4395,0,920.625,0,146363.41500000001,0,0,63213.336000000003,63213.336000000003,0,78.650127518586714,80579.11197398504,13537.290811629488,0,0
17,4395,0,590.31200000000001,0,73864.827999999994,0,0,58793.563000000002,58793.563000000002,0,121.251575,115539.77147049841,19410.681607043731,0,0
1,4396,0,461.12400000000002,0,188577.84899999999,0,0,110189.727,110189.727,0,80.894420518586685,120000,20160,0,0
17,4396,0,250.001,0,82443.917000000001,0,0,71150.582999999999,71150.582999999999,0,121.63445000000002,140265.02526336996,23564.524244246153,0,0
1,4397,0,737.31200000000001,0,250389.01500000001,0,0,163836.245,163836.245,0,83.037915999999996,120000,20160,0,0
17,4397,0,453.13200000000001,0,92409.811000000002,0,0,80160.964999999997,80160.964999999997,0,121.977035,158473.02378237568,26623.46799543911,0,0
1,4398,0,870.59900000000005,0,253356.16399999999,0,0,171681.98199999999,171681.98199999999,0,85.037344000000076,120000,20160,0,0
